dia,minuto,aeropuerto,evento,ocupacion,capacidad
14,0.0,XRY,ocupacion_inicial,2,4
14,0.0,VGO,ocupacion_inicial,2,5
14,0.0,BJZ,ocupacion_inicial,3,4
14,0.0,GRX,ocupacion_inicial,2,5
14,0.0,LEI,ocupacion_inicial,1,4
14,0.0,SLM,ocupacion_inicial,3,4
14,0.0,SPC,ocupacion_inicial,1,5
14,0.0,GMZ,ocupacion_inicial,3,4
14,0.0,TFS,ocupacion_inicial,2,5
14,0.0,VDE,ocupacion_inicial,2,4
14,0.0,OVD,ocupacion_inicial,1,5
14,0.0,VLL,ocupacion_inicial,3,4
14,0.0,SDR,ocupacion_inicial,3,4
14,0.0,EAS,ocupacion_inicial,2,4
14,0.0,ODB,ocupacion_inicial,4,4
14,0.0,LCG,ocupacion_inicial,2,5
14,0.0,ABC,ocupacion_inicial,4,4
14,0.0,AEI,ocupacion_inicial,3,4
14,0.0,RGS,ocupacion_inicial,3,4
14,0.0,JCU,ocupacion_inicial,3,4
14,0.0,GRO,ocupacion_inicial,3,4
14,0.0,HSK,ocupacion_inicial,4,4
14,0.0,LEN,ocupacion_inicial,2,4
14,0.0,RJL,ocupacion_inicial,3,4
14,0.0,MCV,ocupacion_inicial,4,4
14,0.0,MLN,ocupacion_inicial,1,4
14,0.0,MJV,ocupacion_inicial,4,4
14,0.0,PNA,ocupacion_inicial,3,4
14,0.0,REU,ocupacion_inicial,4,4
14,0.0,QSA,ocupacion_inicial,4,4
14,0.0,SBO,ocupacion_inicial,3,4
14,0.0,VIT,ocupacion_inicial,2,4
14,0.0,ZAZ,ocupacion_inicial,2,4
14,90.0,PMI,ext_llegada,1,11
14,90.0,PMI,ext_llegada,2,11
14,90.0,PMI,ext_llegada,3,11
14,92.0,ALC,ext_llegada,1,6
14,92.0,ALC,ext_llegada,2,6
14,92.0,ALC,ext_llegada,3,6
14,92.0,ALC,ext_llegada,4,6
14,92.0,ALC,ext_llegada,5,6
14,92.0,FUE,ext_llegada,1,6
14,92.0,FUE,ext_llegada,2,6
14,92.0,FUE,ext_llegada,3,6
14,92.0,FUE,ext_llegada,4,6
14,92.0,FUE,ext_llegada,5,6
14,93.0,MAH,ext_llegada,1,6
14,93.0,MAH,ext_llegada,2,6
14,94.0,SVQ,ext_llegada,1,8
14,94.0,SVQ,ext_llegada,2,8
14,100.0,IBZ,ext_llegada,1,7
14,101.0,LPA,ext_llegada,1,10
14,101.0,LPA,ext_llegada,2,10
14,101.0,LPA,ext_llegada,3,10
14,101.0,LPA,ext_llegada,4,10
14,102.0,VLC,ext_llegada,1,6
14,104.0,BCN,ext_llegada,1,15
14,104.0,BCN,ext_llegada,2,15
14,104.0,BCN,ext_llegada,3,15
14,104.0,BCN,ext_llegada,4,15
14,115.0,MAH,ext_salida,1,6
14,115.0,MAH,ext_salida,0,6
14,117.0,SVQ,ext_salida,1,8
14,117.0,SVQ,ext_salida,0,8
14,120.0,ACE,ext_llegada,1,6
14,126.0,FUE,ext_salida,4,6
14,126.0,FUE,ext_salida,3,6
14,126.0,FUE,ext_salida,2,6
14,126.0,FUE,ext_salida,1,6
14,126.0,FUE,ext_salida,0,6
14,126.0,BCN,ext_salida,3,15
14,126.0,BCN,ext_salida,2,15
14,126.0,BCN,ext_salida,1,15
14,126.0,BCN,ext_salida,0,15
14,127.0,ALC,ext_salida,4,6
14,127.0,ALC,ext_salida,3,6
14,127.0,ALC,ext_salida,2,6
14,127.0,ALC,ext_salida,1,6
14,127.0,ALC,ext_salida,0,6
14,128.0,LPA,ext_salida,3,10
14,128.0,LPA,ext_salida,2,10
14,128.0,LPA,ext_salida,1,10
14,128.0,LPA,ext_salida,0,10
14,130.0,PMI,ext_salida,2,11
14,130.0,PMI,ext_salida,1,11
14,130.0,PMI,ext_salida,0,11
14,135.0,SCQ,ext_llegada,1,6
14,135.0,SCQ,ext_llegada,2,6
